bug_id,original bug name,buggy jsoncpp file,buggyline
bug80,json_value.MUT1214.cpp,json_value.cpp,"json_value.MUT1214.cpp#src/lib_json/json_value.cpp#CZString::operator<(const class Json::Value::CZString & other)#307"
bug81,json_value.MUT1337.cpp,json_value.cpp,"json_value.MUT1337.cpp#src/lib_json/json_value.cpp#CZString::operator==(const class Json::Value::CZString & other)#319"
bug82,json_value.MUT1358.cpp,json_value.cpp,"json_value.MUT1358.cpp#src/lib_json/json_value.cpp#CZString::operator==(const class Json::Value::CZString & other)#322"
bug83,json_value.MUT148.cpp,json_value.cpp,"json_value.MUT148.cpp#src/lib_json/json_value.cpp#InRange(double d, T min, U max)#104"
bug84,json_value.MUT1991.cpp,json_value.cpp,"json_value.MUT1991.cpp#src/lib_json/json_value.cpp#Value::swap(class Json::Value & other)#469"
bug85,json_value.MUT2004.cpp,json_value.cpp,"json_value.MUT2004.cpp#src/lib_json/json_value.cpp#Value::swap(class Json::Value & other)#470"
bug86,json_value.MUT2026.cpp,json_value.cpp,"json_value.MUT2026.cpp#src/lib_json/json_value.cpp#Value::copy(const class Json::Value & other)#474"
bug87,json_value.MUT2066.cpp,json_value.cpp,"json_value.MUT2066.cpp#src/lib_json/json_value.cpp#Value::compare(const class Json::Value & other)#484"
bug88,json_value.MUT2195.cpp,json_value.cpp,"json_value.MUT2195.cpp#src/lib_json/json_value.cpp#Value::operator<(const class Json::Value & other)#498"
bug89,json_value.MUT2223.cpp,json_value.cpp,"json_value.MUT2223.cpp#src/lib_json/json_value.cpp#Value::operator<(const class Json::Value & other)#500"
bug90,json_value.MUT2342.cpp,json_value.cpp,"json_value.MUT2342.cpp#src/lib_json/json_value.cpp#Value::operator<(const class Json::Value & other)#513"
bug91,json_value.MUT2476.cpp,json_value.cpp,"json_value.MUT2476.cpp#src/lib_json/json_value.cpp#Value::operator<(const class Json::Value & other)#520"
bug92,json_value.MUT2522.cpp,json_value.cpp,"json_value.MUT2522.cpp#src/lib_json/json_value.cpp#Value::operator<(const class Json::Value & other)#524"
bug93,json_value.MUT2567.cpp,json_value.cpp,"json_value.MUT2567.cpp#src/lib_json/json_value.cpp#Value::operator<(const class Json::Value & other)#530"
bug94,json_value.MUT2631.cpp,json_value.cpp,"json_value.MUT2631.cpp#src/lib_json/json_value.cpp#Value::operator<(const class Json::Value & other)#531"
bug95,json_value.MUT2715.cpp,json_value.cpp,"json_value.MUT2715.cpp#src/lib_json/json_value.cpp#Value::operator>(const class Json::Value & other)#544"
bug96,json_value.MUT2735.cpp,json_value.cpp,"json_value.MUT2735.cpp#src/lib_json/json_value.cpp#Value::operator==(const class Json::Value & other)#547"
bug97,json_value.MUT2780.cpp,json_value.cpp,"json_value.MUT2780.cpp#src/lib_json/json_value.cpp#Value::operator==(const class Json::Value & other)#553"
bug98,json_value.MUT2799.cpp,json_value.cpp,"json_value.MUT2799.cpp#src/lib_json/json_value.cpp#Value::operator==(const class Json::Value & other)#555"
bug99,json_value.MUT302.cpp,json_value.cpp,"json_value.MUT302.cpp#src/lib_json/json_value.cpp#duplicateStringValue(const char * value, size_t length)#126"
bug100,json_value.MUT3052.cpp,json_value.cpp,"json_value.MUT3052.cpp#src/lib_json/json_value.cpp#Value::operator==(const class Json::Value & other)#576"
bug101,json_value.MUT3147.cpp,json_value.cpp,"json_value.MUT3147.cpp#src/lib_json/json_value.cpp#Value::asCString()#597"
bug102,json_value.MUT3170.cpp,json_value.cpp,"json_value.MUT3170.cpp#src/lib_json/json_value.cpp#Value::asCString()#599"
bug103,json_value.MUT3370.cpp,json_value.cpp,"json_value.MUT3370.cpp#src/lib_json/json_value.cpp#Value::asString()#644"
bug104,json_value.MUT3435.cpp,json_value.cpp,"json_value.MUT3435.cpp#src/lib_json/json_value.cpp#Value::asInt()#661"
bug105,json_value.MUT3446.cpp,json_value.cpp,"json_value.MUT3446.cpp#src/lib_json/json_value.cpp#Value::asInt()#665"
bug106,json_value.MUT3643.cpp,json_value.cpp,"json_value.MUT3643.cpp#src/lib_json/json_value.cpp#Value::asInt64()#714"
bug107,json_value.MUT3782.cpp,json_value.cpp,"json_value.MUT3782.cpp#src/lib_json/json_value.cpp#Value::asDouble()#767"
bug108,json_value.MUT3907.cpp,json_value.cpp,"json_value.MUT3907.cpp#src/lib_json/json_value.cpp#Value::asFloat()#797"
bug109,json_value.MUT3961.cpp,json_value.cpp,"json_value.MUT3961.cpp#src/lib_json/json_value.cpp#Value::asBool()#811"
bug110,json_value.MUT4036.cpp,json_value.cpp,"json_value.MUT4036.cpp#src/lib_json/json_value.cpp#Value::asBool()#817"
bug111,json_value.MUT4133.cpp,json_value.cpp,"json_value.MUT4133.cpp#src/lib_json/json_value.cpp#Value::isConvertibleTo(enum Json::ValueType other)#830"
bug112,json_value.MUT4202.cpp,json_value.cpp,"json_value.MUT4202.cpp#src/lib_json/json_value.cpp#Value::isConvertibleTo(enum Json::ValueType other)#836"
bug113,json_value.MUT43.cpp,json_value.cpp,"json_value.MUT43.cpp#src/lib_json/json_value.cpp#integerToDouble(Json::UInt64 value)#94"
bug114,json_value.MUT4321.cpp,json_value.cpp,"json_value.MUT4321.cpp#src/lib_json/json_value.cpp#Value::isConvertibleTo(enum Json::ValueType other)#841"
bug115,json_value.MUT4347.cpp,json_value.cpp,"json_value.MUT4347.cpp#src/lib_json/json_value.cpp#Value::isConvertibleTo(enum Json::ValueType other)#843"
bug116,json_value.MUT4379.cpp,json_value.cpp,"json_value.MUT4379.cpp#src/lib_json/json_value.cpp#Value::isConvertibleTo(enum Json::ValueType other)#845"
bug117,json_value.MUT4402.cpp,json_value.cpp,"json_value.MUT4402.cpp#src/lib_json/json_value.cpp#Value::isConvertibleTo(enum Json::ValueType other)#847"
bug118,json_value.MUT4413.cpp,json_value.cpp,"json_value.MUT4413.cpp#src/lib_json/json_value.cpp#Value::isConvertibleTo(enum Json::ValueType other)#848"
bug119,json_value.MUT4426.cpp,json_value.cpp,"json_value.MUT4426.cpp#src/lib_json/json_value.cpp#Value::isConvertibleTo(enum Json::ValueType other)#850"
bug120,json_value.MUT4568.cpp,json_value.cpp,"json_value.MUT4568.cpp#src/lib_json/json_value.cpp#Value::empty()#883"
bug121,json_value.MUT4610.cpp,json_value.cpp,"json_value.MUT4610.cpp#src/lib_json/json_value.cpp#Value::operator bool()#888"
bug122,json_value.MUT4671.cpp,json_value.cpp,"json_value.MUT4671.cpp#src/lib_json/json_value.cpp#Value::resize(Json::Value::ArrayIndex newSize)#912"
bug123,json_value.MUT4888.cpp,json_value.cpp,"json_value.MUT4888.cpp#src/lib_json/json_value.cpp#Value::resize(Json::Value::ArrayIndex newSize)#919"
bug124,json_value.MUT4993.cpp,json_value.cpp,"json_value.MUT4993.cpp#src/lib_json/json_value.cpp#Value::operator[](int index)#945"
bug125,json_value.MUT5034.cpp,json_value.cpp,"json_value.MUT5034.cpp#src/lib_json/json_value.cpp#Value::operator[](Json::Value::ArrayIndex index)#955"
bug126,json_value.MUT5084.cpp,json_value.cpp,"json_value.MUT5084.cpp#src/lib_json/json_value.cpp#Value::operator[](int index)#965"
bug127,json_value.MUT5240.cpp,json_value.cpp,"json_value.MUT5240.cpp#src/lib_json/json_value.cpp#Value::dupPayload(const class Json::Value & other)#991"
bug128,json_value.MUT5616.cpp,json_value.cpp,"json_value.MUT5616.cpp#src/lib_json/json_value.cpp#Value::get(Json::Value::ArrayIndex index, const class Json::Value & defaultValue)#1076"
bug129,json_value.MUT5646.cpp,json_value.cpp,"json_value.MUT5646.cpp#src/lib_json/json_value.cpp#Value::get(Json::Value::ArrayIndex index, const class Json::Value & defaultValue)#1077"
bug130,json_value.MUT5675.cpp,json_value.cpp,"json_value.MUT5675.cpp#src/lib_json/json_value.cpp#Value::isValidIndex(Json::Value::ArrayIndex index)#1080"
bug131,json_value.MUT5747.cpp,json_value.cpp,"json_value.MUT5747.cpp#src/lib_json/json_value.cpp#Value::find(const char * begin, const char * end)#1093"
bug132,json_value.MUT5787.cpp,json_value.cpp,"json_value.MUT5787.cpp#src/lib_json/json_value.cpp#Value::operator[](const char * key)#1102"
bug133,json_value.MUT5846.cpp,json_value.cpp,"json_value.MUT5846.cpp#src/lib_json/json_value.cpp#Value::operator[](const Json::String & key)#1108"
bug134,json_value.MUT6050.cpp,json_value.cpp,"json_value.MUT6050.cpp#src/lib_json/json_value.cpp#Value::insert(Json::Value::ArrayIndex index, const class Json::Value & newValue)#1138"
bug135,json_value.MUT6078.cpp,json_value.cpp,"json_value.MUT6078.cpp#src/lib_json/json_value.cpp#Value::insert(Json::Value::ArrayIndex index, class Json::Value && newValue)#1145"
bug136,json_value.MUT6171.cpp,json_value.cpp,"json_value.MUT6171.cpp#src/lib_json/json_value.cpp#Value::insert(Json::Value::ArrayIndex index, class Json::Value && newValue)#1148"
bug137,json_value.MUT6190.cpp,json_value.cpp,"json_value.MUT6190.cpp#src/lib_json/json_value.cpp#Value::insert(Json::Value::ArrayIndex index, class Json::Value && newValue)#1149"
bug138,json_value.MUT6238.cpp,json_value.cpp,"json_value.MUT6238.cpp#src/lib_json/json_value.cpp#Value::insert(Json::Value::ArrayIndex index, class Json::Value && newValue)#1151"
bug139,json_value.MUT6433.cpp,json_value.cpp,"json_value.MUT6433.cpp#src/lib_json/json_value.cpp#Value::get(const Json::String & key, const class Json::Value & defaultValue)#1164"
bug140,json_value.MUT6542.cpp,json_value.cpp,"json_value.MUT6542.cpp#src/lib_json/json_value.cpp#Value::removeMember(const char * begin, const char * end, class Json::Value * removed)#1177"
bug141,json_value.MUT6740.cpp,json_value.cpp,"json_value.MUT6740.cpp#src/lib_json/json_value.cpp#Value::removeIndex(Json::Value::ArrayIndex index, class Json::Value * removed)#1202"
bug142,json_value.MUT7027.cpp,json_value.cpp,"json_value.MUT7027.cpp#src/lib_json/json_value.cpp#Value::isMember(const Json::String & key)#1230"
bug143,json_value.MUT7206.cpp,json_value.cpp,"json_value.MUT7206.cpp#src/lib_json/json_value.cpp#Value::isInt()#1262"
bug144,json_value.MUT7300.cpp,json_value.cpp,"json_value.MUT7300.cpp#src/lib_json/json_value.cpp#Value::isInt()#1274"
bug145,json_value.MUT7387.cpp,json_value.cpp,"json_value.MUT7387.cpp#src/lib_json/json_value.cpp#Value::isUInt()#1292"
bug146,json_value.MUT7491.cpp,json_value.cpp,"json_value.MUT7491.cpp#src/lib_json/json_value.cpp#Value::isInt64()#1312"
bug147,json_value.MUT7617.cpp,json_value.cpp,"json_value.MUT7617.cpp#src/lib_json/json_value.cpp#Value::isIntegral()#1341"
bug148,json_value.MUT7663.cpp,json_value.cpp,"json_value.MUT7663.cpp#src/lib_json/json_value.cpp#Value::isIntegral()#1351"
bug149,json_value.MUT7694.cpp,json_value.cpp,"json_value.MUT7694.cpp#src/lib_json/json_value.cpp#Value::isDouble()#1363"
bug150,json_value.MUT7934.cpp,json_value.cpp,"json_value.MUT7934.cpp#src/lib_json/json_value.cpp#Comments::set(enum Json::CommentPlacement slot, Json::String comment)#1405"
bug151,json_value.MUT8095.cpp,json_value.cpp,"json_value.MUT8095.cpp#src/lib_json/json_value.cpp#Value::setOffsetLimit(ptrdiff_t limit)#1431"
bug152,json_value.MUT8464.cpp,json_value.cpp,"json_value.MUT8464.cpp#src/lib_json/json_value.cpp#Path::makePath(const Json::String & path, const Json::Path::InArgs & in)#1532"
bug153,json_value.MUT8990.cpp,json_value.cpp,"json_value.MUT8990.cpp#src/lib_json/json_value.cpp#Path::resolve(const class Json::Value & root)#1578"
bug154,json_value.MUT9010.cpp,json_value.cpp,"json_value.MUT9010.cpp#src/lib_json/json_value.cpp#Path::resolve(const class Json::Value & root)#1582"
bug155,json_value.MUT9053.cpp,json_value.cpp,"json_value.MUT9053.cpp#src/lib_json/json_value.cpp#Path::resolve(const class Json::Value & root)#1586"
bug156,json_value.MUT94.cpp,json_value.cpp,"json_value.MUT94.cpp#src/lib_json/json_value.cpp#integerToDouble(Json::UInt64 value)#95"
